theta,phi,E_SCF_ortho_int,E_CCSD_ortho_int,E_SCF_meta_int,E_CCSD_meta_int,E_SCF_para_int,E_CCSD_para_int
0.0,0.0,-3006.1052907307612,-3007.819260311262042,-3006.1158503896336,-3007.822182229682767,-3006.0963348146101,-3007.813860711746202
9.0,0.0,-3006.1058947942347,-3007.819379828356887,-3006.1142550644245,-3007.820981719826705,-3006.0932227643730,-3007.811621933184142
9.0,18.0,-3006.1053248139051,-3007.818956807843733,-3006.1135590563758,-3007.820545185854826,-3006.0933277234444,-3007.811714171655240
9.0,36.0,-3006.1045958397262,-3007.818499501528095,-3006.1129918254669,-3007.820229005748843,-3006.0936261159986,-3007.811982405246908
9.0,54.0,-3006.1038087673287,-3007.818056209881433,-3006.1126550672220,-3007.820076112867355,-3006.0941036589293,-3007.812392696178904
9.0,72.0,-3006.1030906313135,-3007.817679763551951,-3006.1126194398471,-3007.820106074247178,-3006.0947315401440,-3007.812894442704419
9.0,90.0,-3006.1025626689025,-3007.817418616129999,-3006.1129034596447,-3007.820311661139840,-3006.0954618148767,-3007.813429634121348
9.0,108.0,-3006.1023094087950,-3007.817308049362055,-3006.1134657094422,-3007.820660941650203,-3006.0962270205760,-3007.813941543125111
9.0,126.0,-3006.1023586635620,-3007.817362877849973,-3006.1142136098929,-3007.821104512307102,-3006.0969459317230,-3007.814382273455976
9.0,144.0,-3006.1026780301554,-3007.817574907258859,-3006.1150264783519,-3007.821587014827401,-3006.0975346267323,-3007.814716632585714
9.0,162.0,-3006.1031882094667,-3007.817914664074578,-3006.1157855357465,-3007.822055889553212,-3006.0979199873323,-3007.814924047079785
9.0,180.0,-3006.1037884448128,-3007.818337390689976,-3006.1164009340373,-3007.822468296880743,-3006.0980522356326,-3007.814993363258509
9.0,198.0,-3006.1043854977515,-3007.818791552501352,-3006.1168269535788,-3007.822797212113983,-3006.0979137136110,-3007.814921820423933
9.0,216.0,-3006.1049161730671,-3007.819228238781761,-3006.1170610522217,-3007.823025659858558,-3006.0975220838413,-3007.814713219539499
9.0,234.0,-3006.1053557338346,-3007.819607076056855,-3006.1171288072128,-3007.823144239167959,-3006.0969272958378,-3007.814379313424070
9.0,252.0,-3006.1057101871602,-3007.819899914394227,-3006.1170623535440,-3007.823146742099198,-3006.0962029409416,-3007.813940599312446
9.0,270.0,-3006.1059969862372,-3007.820090098139644,-3006.1168821676870,-3007.823027644594276,-3006.0954337668231,-3007.813431529756144
9.0,288.0,-3006.1062232693048,-3007.820169501452256,-3006.1165899632351,-3007.822786216548593,-3006.0947020675794,-3007.812898915963160
9.0,306.0,-3006.1063714754500,-3007.820135127804406,-3006.1161751417289,-3007.822429559745615,-3006.0940762934556,-3007.812398499346727
9.0,324.0,-3006.1063990070497,-3007.819987453598969,-3006.1156311867021,-3007.821981843696449,-3006.0936048381241,-3007.811987744079943
9.0,342.0,-3006.1062529691885,-3007.819731505561776,-3006.1149742081830,-3007.821481044649317,-3006.0933160480777,-3007.811717350992694
18.0,0.0,-3006.1055795514685,-3007.818693271653501,-3006.1117718752589,-3007.819000074395717,-3006.0890292219692,-3007.808536526154967
18.0,18.0,-3006.1045177767178,-3007.817923349962257,-3006.1101767180176,-3007.818070453099608,-3006.0891915192674,-3007.808729004581892
18.0,36.0,-3006.1029152433757,-3007.817033562697361,-3006.1087658958650,-3007.817388630484857,-3006.0896577663175,-3007.809289381231338
18.0,54.0,-3006.1010521537601,-3007.816126535813055,-3006.1078563452006,-3007.817066397868075,-3006.0904450988087,-3007.810135458172226
18.0,72.0,-3006.0993127184047,-3007.815330034892213,-3006.1076841263343,-3007.817152778398395,-3006.0915490533548,-3007.811146389280566
18.0,90.0,-3006.0980660048367,-3007.814767190154271,-3006.1083265539305,-3007.817623765785811,-3006.0929120138062,-3007.812187090516545
18.0,108.0,-3006.0975578202215,-3007.814528645954397,-3006.1096696350437,-3007.818389173095056,-3006.0944100264596,-3007.813136520122498
18.0,126.0,-3006.0978476366831,-3007.814652385399313,-3006.1114353478520,-3007.819316610663009,-3006.0958667291166,-3007.813908006860856
18.0,144.0,-3006.0988022860893,-3007.815115747637265,-3006.1132626761541,-3007.820265676205963,-3006.0970877038640,-3007.814459318207810
18.0,162.0,-3006.1001439504726,-3007.815840461613789,-3006.1148151429979,-3007.821120930652796,-3006.0978993609169,-3007.814781921546455
18.0,180.0,-3006.1015413344185,-3007.816711663817841,-3006.1158765357332,-3007.821813198479504,-3006.0981817296365,-3007.814883921771980
18.0,198.0,-3006.1027176529115,-3007.817604070224661,-3006.1164000749113,-3007.822321940058373,-3006.0978915102583,-3007.814771900485994
18.0,216.0,-3006.1035347619263,-3007.818410779661463,-3006.1164925436674,-3007.822659080445646,-3006.0970709712024,-3007.814443593430951
18.0,234.0,-3006.1040184275480,-3007.819061665297340,-3006.1163409731212,-3007.822845047785904,-3006.0958394981772,-3007.813893426957748
18.0,252.0,-3006.1043157913809,-3007.819528316861579,-3006.1161152439468,-3007.822882469193701,-3006.0943708922341,-3007.813129557780940
18.0,270.0,-3006.1046056071173,-3007.819812641551835,-3006.1158901557460,-3007.822748718838284,-3006.0928611250770,-3007.812191174391046
18.0,288.0,-3006.1050008654979,-3007.819928984516991,-3006.1156197079613,-3007.822405265610087,-3006.0914898715782,-3007.811160444838606
18.0,306.0,-3006.1054841379000,-3007.819885824633729,-3006.1151716281579,-3007.821823231348844,-3006.0903853706918,-3007.810155010810831
18.0,324.0,-3006.1058996804259,-3007.819676436990903,-3006.1144039544160,-3007.821010010505688,-3006.0896084139240,-3007.809307675363016
18.0,342.0,-3006.1060067053504,-3007.819282969212964,-3006.1132492544552,-3007.820029824452376,-3006.0891634243189,-3007.808739946233345
27.0,0.0,-3006.1044356669877,-3007.817291427059899,-3006.1086696751386,-3007.816458715270073,-3006.0841576230200,-3007.804944009078554
27.0,18.0,-3006.1030163227115,-3007.816288491051637,-3006.1060431293431,-3007.815031462519073,-3006.0843246149261,-3007.805232122947928
27.0,36.0,-3006.1004620211515,-3007.815031089859531,-3006.1035790733699,-3007.813973166836149,-3006.0848156865595,-3007.806073900616411
27.0,54.0,-3006.0973080879530,-3007.813682360844723,-3006.1019065114579,-3007.813481573924946,-3006.0857243790488,-3007.807332848080932
27.0,72.0,-3006.0943179610977,-3007.812462138959290,-3006.1015090986525,-3007.813642378621353,-3006.0871196801345,-3007.808806765425743
27.0,90.0,-3006.0922176612185,-3007.811587614086875,-3006.1025594845314,-3007.814408841966724,-3006.0889674278278,-3007.810272448994056
27.0,108.0,-3006.0914720691389,-3007.811217631347517,-3006.1048448318174,-3007.815613691516319,-3006.0910949037429,-3007.811539645909761
27.0,126.0,-3006.0921719546486,-3007.811417805313795,-3006.1078199031726,-3007.817016344821695,-3006.0932213445735,-3007.812495860367562
27.0,144.0,-3006.0940305692434,-3007.812147257143351,-3006.1107789978619,-3007.818369784003607,-3006.0950333728788,-3007.813118873505118
27.0,162.0,-3006.0964724056416,-3007.813266018063587,-3006.1130840206979,-3007.819490694985689,-3006.0962523388530,-3007.813449891484197
27.0,180.0,-3006.0988158166865,-3007.814568343119390,-3006.1143647447270,-3007.820297970828051,-3006.0966812013849,-3007.813543612799549
27.0,198.0,-3006.1005117370223,-3007.815838294145124,-3006.1146209480880,-3007.820813969415667,-3006.0962464367926,-3007.813427279357256
27.0,216.0,-3006.1013354845190,-3007.816907381807141,-3006.1141808542402,-3007.821124013840290,-3006.0950189684272,-3007.813083088950407
27.0,234.0,-3006.1014382318190,-3007.817690025069169,-3006.1135263944275,-3007.821314239810363,-3006.0931944430522,-3007.812462066024182
27.0,252.0,-3006.1012416046888,-3007.818186958313163,-3006.1130654382214,-3007.821414398995785,-3006.0910508515544,-3007.811522363904260
27.0,270.0,-3006.1012256338081,-3007.818453983579730,-3006.1129543443199,-3007.821375050531969,-3006.0889024983644,-3007.810279052619535
27.0,288.0,-3006.1017033707799,-3007.818558890716758,-3006.1130448239169,-3007.821085799061166,-3006.0870356172368,-3007.808835079961682
27.0,306.0,-3006.1026792921289,-3007.818534950869434,-3006.1129710737814,-3007.820436175230498,-3006.0856324326451,-3007.807372520363515
27.0,324.0,-3006.1038294851751,-3007.818362673781849,-3006.1123316472326,-3007.819381807408263,-3006.0847354150333,-3007.806110980485300
27.0,342.0,-3006.1046027241582,-3007.817973721510953,-3006.1108833758149,-3007.817994106696915,-3006.0842774014072,-3007.805254261464597
36.0,0.0,-3006.1026241529280,-3007.815338071586211,-3006.1052912466153,-3007.813632068116931,-3006.0790697953353,-3007.801219472480170
36.0,18.0,-3006.1010337183993,-3007.814239748944146,-3006.1015784420447,-3007.811750647989811,-3006.0791920173419,-3007.801589149662959
36.0,36.0,-3006.0975331390700,-3007.812713568093841,-3006.0979304921780,-3007.810340277757405,-3006.0795747347520,-3007.802672235590762
36.0,54.0,-3006.0929726396025,-3007.810983133911122,-3006.0953644358283,-3007.809693214426261,-3006.0804223979867,-3007.804279746783777
36.0,72.0,-3006.0885952326453,-3007.809372829833592,-3006.0946757735460,-3007.809936749265944,-3006.0819105476994,-3007.806125441109998
36.0,90.0,-3006.0855702274739,-3007.808205202523823,-3006.0961603356877,-3007.810998938633020,-3006.0840527659539,-3007.807893608321592
36.0,108.0,-3006.0846193880652,-3007.807712909720522,-3006.0994824277236,-3007.812625775221022,-3006.0866372313103,-3007.809327489764655
36.0,126.0,-3006.0858615420175,-3007.807990631604298,-3006.1037613533335,-3007.814450946394572,-3006.0892810787495,-3007.810302752115149
36.0,144.0,-3006.0888246632994,-3007.808978492948881,-3006.1078683349724,-3007.816109230555867,-3006.0915668517550,-3007.810847305187053
36.0,162.0,-3006.0925626417820,-3007.810467024518402,-3006.1108089995691,-3007.817349617827404,-3006.0931264904571,-3007.811082915732641
36.0,180.0,-3006.0959392705035,-3007.812145571258043,-3006.1120467479273,-3007.818097154601674,-3006.0936828929657,-3007.811130649019105
36.0,198.0,-3006.0980534308765,-3007.813695852346427,-3006.1116738972546,-3007.818447567989097,-3006.0931254321372,-3007.811044581255828
36.0,216.0,-3006.0985882827354,-3007.814890350497535,-3006.1103389981386,-3007.818595586657921,-3006.0915595201432,-3007.810786100888436
36.0,234.0,-3006.0978910816129,-3007.815646226065383,-3006.1089319469424,-3007.818724336707874,-3006.0892610221349,-3007.810244131013860
36.0,252.0,-3006.0967784091740,-3007.816022257266468,-3006.1081814747281,-3007.818906495901501,-3006.0865971161697,-3007.809296314525454
36.0,270.0,-3006.0961556860921,-3007.816161145673505,-3006.1083465636580,-3007.819058914860761,-3006.0839836616756,-3007.807902712893338
36.0,288.0,-3006.0966112527394,-3007.816206366363531,-3006.1091269987260,-3007.818975553532255,-3006.0818099311095,-3007.806170774646034
36.0,306.0,-3006.0981892018899,-3007.816228319507445,-3006.1098240410179,-3007.818426067584824,-3006.0803035072468,-3007.804343739696833
36.0,324.0,-3006.1003665605767,-3007.816190795537295,-3006.1096682187294,-3007.817280694378951,-3006.0794655762224,-3007.802731786965978
36.0,342.0,-3006.1021902015191,-3007.815953396175246,-3006.1081607008082,-3007.815599204242517,-3006.0791258062363,-3007.801624394876853
45.0,0.0,-3006.1003409213345,-3007.813042345520444,-3006.1020029224155,-3007.810810711605427,-3006.0742477222661,-3007.797727188782119
45.0,18.0,-3006.0988001141141,-3007.811994682945169,-3006.0972353766006,-3007.808558977983921,-3006.0742847580354,-3007.798156924212890
45.0,36.0,-3006.0944555713968,-3007.810322113834900,-3006.0923668327682,-3007.806849867396977,-3006.0744511449984,-3007.799421361066379
45.0,54.0,-3006.0884991539556,-3007.808303471504132,-3006.0888510384052,-3007.806072700654113,-3006.0750801273412,-3007.801284026273606
45.0,72.0,-3006.0827128244191,-3007.806369248853116,-3006.0878352654959,-3007.806397690419089,-3006.0764635946880,-3007.803377826511678
45.0,90.0,-3006.0787654467149,-3007.804951551711838,-3006.0897535416802,-3007.807729983342597,-3006.0786776428668,-3007.805298385807873
45.0,108.0,-3006.0776535266386,-3007.804356312617529,-3006.0941258766184,-3007.809724755162279,-3006.0814902214493,-3007.806733092434570
45.0,126.0,-3006.0795184634885,-3007.804706387248189,-3006.0996878139345,-3007.811883174961622,-3006.0844358375839,-3007.807564584913052
45.0,144.0,-3006.0836943557106,-3007.805924866622263,-3006.1048470655733,-3007.813719233884513,-3006.0870272440275,-3007.807896312611774
45.0,162.0,-3006.0888237892932,-3007.807730491167604,-3006.1082393474185,-3007.814925162062536,-3006.0888323956442,-3007.807951181824592
45.0,180.0,-3006.0932393143157,-3007.809699400647787,-3006.1091682593510,-3007.815449528829959,-3006.0894888732651,-3007.807924094878672
45.0,198.0,-3006.0956302327741,-3007.811407568728555,-3006.1078574380431,-3007.815484518376707,-3006.0888391063431,-3007.807896195399280
45.0,216.0,-3006.0955945445794,-3007.812577419597346,-3006.1053462719397,-3007.815358260213998,-3006.0870309254315,-3007.807807587505522
45.0,234.0,-3006.0937350023514,-3007.813149540609174,-3006.1030053005343,-3007.815368048214623,-3006.0844269825898,-3007.807478325568354
45.0,252.0,-3006.0913544215241,-3007.813266014711644,-3006.1019365865473,-3007.815638436610243,-3006.0814603385697,-3007.806685840731916
45.0,270.0,-3006.0898758758494,-3007.813181197929225,-3006.1025165714659,-3007.816055454967682,-3006.0786129050985,-3007.805309333286914
45.0,288.0,-3006.0902049246133,-3007.813127406553122,-3006.1042591829637,-3007.816304356036653,-3006.0763559531115,-3007.803440948747266
45.0,306.0,-3006.0924312762800,-3007.813216559424291,-3006.1060625156592,-3007.816009956338803,-3006.0749434099916,-3007.801374244801536
45.0,324.0,-3006.0958301455803,-3007.813395480687177,-3006.1067115169685,-3007.814931036651160,-3006.0743196390213,-3007.799504879081724
45.0,342.0,-3006.0990012995362,-3007.813438892986596,-3006.1053908237741,-3007.813096042247707,-3006.0742025145078,-3007.798205913933089
54.0,0.0,-3006.0977985533464,-3007.810633713751031,-3006.0991449394201,-3007.808268590562875,-3006.0701509325536,-3007.794785788256377
54.0,18.0,-3006.0965311940054,-3007.809774044907044,-3006.0934479001317,-3007.805758908713869,-3006.0700746539569,-3007.795251304355133
54.0,36.0,-3006.0915407150442,-3007.808089924883461,-3006.0874293651682,-3007.803828211190648,-3006.0699490946390,-3007.796625728694835
54.0,54.0,-3006.0843422167281,-3007.805902280846112,-3006.0829935136876,-3007.802955767420372,-3006.0702356781685,-3007.798633510099535
54.0,72.0,-3006.0772576756626,-3007.803737263211133,-3006.0816488719124,-3007.803354046250206,-3006.0713295533465,-3007.800833189503464
54.0,90.0,-3006.0724719778232,-3007.802132065732167,-3006.0839671238505,-3007.804908467082896,-3006.0733761687998,-3007.802744345358406
54.0,108.0,-3006.0712536638675,-3007.801461060425481,-3006.0893087121262,-3007.807187644160877,-3006.0761557673623,-3007.804017947446937
54.0,126.0,-3006.0737598843543,-3007.801872078443921,-3006.0960072035882,-3007.809562057525454,-3006.0791580116384,-3007.804564242574088
54.0,144.0,-3006.0791438280039,-3007.803275250825209,-3006.1020138795652,-3007.811435006355623,-3006.0818666803589,-3007.804580216163686
54.0,162.0,-3006.0856329439457,-3007.805321154843114,-3006.1056253818847,-3007.812459854938425,-3006.0838095149752,-3007.804397037280523
54.0,180.0,-3006.0909948046719,-3007.807471997940866,-3006.1060111326615,-3007.812626610552343,-3006.0845337974338,-3007.804278010311464
54.0,198.0,-3006.0934882584675,-3007.809202673699929,-3006.1035523923697,-3007.812237464931968,-3006.0838269909937,-3007.804326644865341
54.0,216.0,-3006.0926485534173,-3007.810203073799585,-3006.0997086785360,-3007.811760955855789,-3006.0818852029479,-3007.804465308258841
54.0,234.0,-3006.0893741658529,-3007.810456077802428,-3006.0963495668257,-3007.811610433891019,-3006.0791636397753,-3007.804450656809422
54.0,252.0,-3006.0855002874441,-3007.810205608984234,-3006.0949632426314,-3007.811965561254965,-3006.0761399189237,-3007.803953912838097
54.0,270.0,-3006.0830098889746,-3007.809830387118836,-3006.0960501941831,-3007.812686392282103,-3006.0733216190492,-3007.802755915673060
54.0,288.0,-3006.0831264824437,-3007.809651921706063,-3006.0989270138812,-3007.813351747769502,-3006.0712235269239,-3007.800913280718305
54.0,306.0,-3006.0859788626567,-3007.809821505808941,-3006.1020611821209,-3007.813435934251629,-3006.0700920452864,-3007.798748937102573
54.0,324.0,-3006.0906633435443,-3007.810270503804986,-3006.1037612916366,-3007.812569367286414,-3006.0698048417298,-3007.796732659197005
54.0,342.0,-3006.0953388259545,-3007.810688432078223,-3006.1028624727337,-3007.810732199236099,-3006.0699815802072,-3007.795313953265577
63.0,0.0,-3006.0952181119155,-3007.808340493931155,-3006.0969919452245,-3007.806237594815229,-3006.0671739098543,-3007.792647714531086
63.0,18.0,-3006.0944159411310,-3007.807781731010891,-3006.0905846788878,-3007.803601211990099,-3006.0669692828224,-3007.793123512583406
63.0,36.0,-3006.0890542114985,-3007.806221285832180,-3006.0835998885464,-3007.801541496084610,-3006.0665087581820,-3007.794533568168845
63.0,54.0,-3006.0809069829597,-3007.803999360233774,-3006.0783643572681,-3007.800615694727185,-3006.0663647370393,-3007.796570384551615
63.0,72.0,-3006.0727714833492,-3007.801716795069296,-3006.0767227553483,-3007.801074231021630,-3006.0670076312563,-3007.798729612314219
63.0,90.0,-3006.0673154000528,-3007.800001210676783,-3006.0793677377546,-3007.802786124135764,-3006.0686534858642,-3007.800473790720389
63.0,108.0,-3006.0660546052923,-3007.799286078126443,-3006.0854969831812,-3007.805243184840947,-3006.0711382111090,-3007.801443944013954
63.0,126.0,-3006.0691553966753,-3007.799740899186418,-3006.0930644980467,-3007.807699681976374,-3006.0739576757678,-3007.801598915094928
63.0,144.0,-3006.0756198952804,-3007.801267785686832,-3006.0996226658667,-3007.809468313516845,-3006.0766003909989,-3007.801236448693544
63.0,162.0,-3006.0832951766743,-3007.803457474937204,-3006.1031977311945,-3007.810187120725459,-3006.0785708355211,-3007.800787084089279
63.0,180.0,-3006.0894070807690,-3007.805667605905455,-3006.1028672256384,-3007.809903120247327,-3006.0793275744413,-3007.800569714779158
63.0,198.0,-3006.0918108738529,-3007.807287453180379,-3006.0991800256720,-3007.809030512897607,-3006.0786016682578,-3007.800704191674868
63.0,216.0,-3006.0900130740511,-3007.807994095113372,-3006.0939971122802,-3007.808170425965727,-3006.0766373571219,-3007.801099585442444
63.0,234.0,-3006.0852216764206,-3007.807830405015920,-3006.0896474859678,-3007.807839567328756,-3006.0739807809973,-3007.801461270934851
63.0,252.0,-3006.0797949112289,-3007.807149325584305,-3006.0879753015347,-3007.808267190781862,-3006.0711385215832,-3007.801363982456223
63.0,270.0,-3006.0762537372948,-3007.806451860303241,-3006.0896008083687,-3007.809296349182659,-3006.0686120867854,-3007.800484410751778
63.0,288.0,-3006.0761020596256,-3007.806139657845961,-3006.0936567874119,-3007.810414974443574,-3006.0669097867444,-3007.798823647223344
63.0,306.0,-3006.0794946459964,-3007.806392625846911,-3006.0982010445468,-3007.810955038085467,-3006.0662247549467,-3007.796708255154499
63.0,324.0,-3006.0853884364392,-3007.807133036058076,-3006.1010895896325,-3007.810419576661843,-3006.0663624058984,-3007.794661553629794
63.0,342.0,-3006.0915546161646,-3007.807973237023361,-3006.1008110283174,-3007.808727969892971,-3006.0668718004285,-3007.793198360209772
72.0,0.0,-3006.0928192843821,-3007.806370926098225,-3006.0957286927664,-3007.804892119822398,-3006.0656079673045,-3007.791486452150366
72.0,18.0,-3006.0926147667506,-3007.806192255186943,-3006.0889132506159,-3007.802268165461101,-3006.0652720476223,-3007.791948469107410
72.0,36.0,-3006.0872004911794,-3007.804877591294826,-3006.0812523955397,-3007.800181293067453,-3006.0644624571246,-3007.793321518096036
72.0,54.0,-3006.0785107036745,-3007.802761032259241,-3006.0754230965499,-3007.799248741963311,-3006.0638332596250,-3007.795274373959273
72.0,72.0,-3006.0696935255492,-3007.800485087366724,-3006.0735457061232,-3007.799751117069263,-3006.0638989217459,-3007.797255046139981
72.0,90.0,-3006.0638109699494,-3007.798745163581316,-3006.0764030511959,-3007.801544266793826,-3006.0649432986384,-3007.798693694176109
72.0,108.0,-3006.0625787726744,-3007.798020003275269,-3006.0830450507578,-3007.804058318610259,-3006.0669021053286,-3007.799250372851930
72.0,126.0,-3006.0661675559968,-3007.798496792931473,-3006.0911150454881,-3007.806456938666997,-3006.0693321258614,-3007.798950660861919
72.0,144.0,-3006.0734683388860,-3007.800075133670816,-3006.0978686548779,-3007.807992280407689,-3006.0717478614320,-3007.798186183748385
72.0,162.0,-3006.0820189894662,-3007.802298171424809,-3006.1011551296292,-3007.808312850258062,-3006.0736413906761,-3007.797469510797782
72.0,180.0,-3006.0885912616723,-3007.804439976031972,-3006.1000150372706,-3007.807531412815024,-3006.0743941275109,-3007.797156804086171
72.0,198.0,-3006.0907152239633,-3007.805828949686656,-3006.0951578065014,-3007.806166662975102,-3006.0736872467055,-3007.797378025285070
72.0,216.0,-3006.0879055709397,-3007.806151389355364,-3006.0887801257700,-3007.804930705571678,-3006.0718060710778,-3007.798033503140687
72.0,234.0,-3006.0816626106007,-3007.805519606803500,-3006.0835777560901,-3007.804419472487552,-3006.0693753994901,-3007.798794384146731
72.0,252.0,-3006.0748007853949,-3007.804391831302837,-3006.0816802229251,-3007.804902642656543,-3006.0669197575471,-3007.799156943413891
72.0,270.0,-3006.0702898184172,-3007.803376139601369,-3006.0838111403832,-3007.806214085535885,-3006.0649159178583,-3007.798701747703944
72.0,288.0,-3006.0698487120399,-3007.802934538854970,-3006.0889577609801,-3007.807774506875830,-3006.0638136213624,-3007.797358844322389
72.0,306.0,-3006.0736455212773,-3007.803266397869265,-3006.0948360437001,-3007.808798633603601,-3006.0637055472689,-3007.795430076072080
72.0,324.0,-3006.0805425189660,-3007.804286679924189,-3006.0989231715944,-3007.808675908823716,-3006.0643237656673,-3007.793466619602896
72.0,342.0,-3006.0880138161233,-3007.805548868179358,-3006.0994023662984,-3007.807259021370555,-3006.0651766602682,-3007.792033304373945
81.0,0.0,-3006.0908054752890,-3007.804896800684674,-3006.0954421721331,-3007.804341397453300,-3006.0656119602700,-3007.791392058968995
81.0,18.0,-3006.0912594330093,-3007.805139927206710,-3006.0885785689702,-3007.801866918087853,-3006.0651520725905,-3007.791818231492016
81.0,36.0,-3006.0861176601306,-3007.804170168340988,-3006.0806163999218,-3007.799856945122883,-3006.0640040381213,-3007.793087856223792
81.0,54.0,-3006.0773596191120,-3007.802290237606940,-3006.0744684791316,-3007.798965938128276,-3006.0628676383326,-3007.794853495589450
81.0,72.0,-3006.0683182300763,-3007.800147052721513,-3006.0724385669760,-3007.799493726116452,-3006.0622766415204,-3007.796536153152829
81.0,90.0,-3006.0623093476761,-3007.798471745984443,-3006.0753591143052,-3007.801285578193529,-3006.0625764860306,-3007.797560989569320
81.0,108.0,-3006.0611802567237,-3007.797771165661743,-3006.0821690414446,-3007.803729893881609,-3006.0638351585408,-3007.797634627087064
81.0,126.0,-3006.0651034455732,-3007.798245532006604,-3006.0903131700757,-3007.805935949627838,-3006.0657181276911,-3007.796860392666531
81.0,144.0,-3006.0729020409835,-3007.799796098001480,-3006.0968837491259,-3007.807132689946684,-3006.0677786518609,-3007.795706966142916
81.0,162.0,-3006.0819062585456,-3007.801935508960923,-3006.0996578846557,-3007.806999848326541,-3006.0695032092954,-3007.794742920449607
81.0,180.0,-3006.0885824838992,-3007.803885762468781,-3006.0977011204418,-3007.805720961835050,-3006.0702169926744,-3007.794344962803279
81.0,198.0,-3006.0902591874710,-3007.804947705814811,-3006.0918614513321,-3007.803901199249594,-3006.0695645131764,-3007.794647131535839
81.0,216.0,-3006.0864909503466,-3007.804835122178247,-3006.0845655635044,-3007.802331840300667,-3006.0678595690488,-3007.795545659314485
81.0,234.0,-3006.0790218463776,-3007.803732024657165,-3006.0787417386596,-3007.801658714864971,-3006.0657834611852,-3007.796692851792159
81.0,252.0,-3006.0710043453209,-3007.802187497092291,-3006.0767017850858,-3007.802177442673383,-3006.0638706713480,-3007.797531772768252
81.0,270.0,-3006.0657104890097,-3007.800887842975953,-3006.0792448198758,-3007.803720535765024,-3006.0625629562060,-3007.797565350433615
81.0,288.0,-3006.0649924491468,-3007.800333236680672,-3006.0852715973970,-3007.805669640581073,-3006.0622065738385,-3007.796644830051264
81.0,306.0,-3006.0690230288083,-3007.800731749724946,-3006.0922649279150,-3007.807159026806858,-3006.0627581347594,-3007.795020569648386
81.0,324.0,-3006.0766122218911,-3007.801993260596646,-3006.0974343088064,-3007.807489594457365,-3006.0638805676231,-3007.793244844028777
81.0,342.0,-3006.0850541157770,-3007.803633994797110,-3006.0987306243901,-3007.806448147035098,-3006.0650644092329,-3007.791910344026292
90.0,0.0,-3006.0893491661782,-3007.804043949090556,-3006.0961274664392,-3007.804626635444947,-3006.0671955790099,-3007.792370548146209
90.0,18.0,-3006.0904514010199,-3007.804712728520371,-3006.0895967555698,-3007.802427130532124,-3006.0666276577576,-3007.792742530749820
90.0,36.0,-3006.0858780420676,-3007.804155863433152,-3006.0817559899870,-3007.800593413853676,-3006.0651740151093,-3007.793850143058989
90.0,54.0,-3006.0775403719917,-3007.802623983048761,-3006.0756071564219,-3007.799790660028521,-3006.0635426955928,-3007.795340666693846
90.0,72.0,-3006.0687714438027,-3007.800731108567561,-3006.0735215394475,-3007.800324323941368,-3006.0622718361042,-3007.796631815487672
90.0,90.0,-3006.0629623353279,-3007.799205740857360,-3006.0763365413741,-3007.802031175625416,-3006.0617596852685,-3007.797173497408039
90.0,108.0,-3006.0620082517280,-3007.798563051253495,-3006.0829371006639,-3007.804282621728817,-3006.0622186178807,-3007.796740248489641
90.0,126.0,-3006.0660825689893,-3007.799010552482287,-3006.0907114638139,-3007.806177194730026,-3006.0634547126051,-3007.795511803326463
90.0,144.0,-3006.0739822369551,-3007.800453423724321,-3006.0967366345781,-3007.806960413121487,-3006.0650706428173,-3007.794012778437263
90.0,162.0,-3006.0829527590786,-3007.802394479714621,-3006.0988247423888,-3007.806360150854289,-3006.0665518983214,-3007.792838395553645
