theta,phi,Ex,Ey,Ez,lambda_magnitude,xyz_file_name
139.0,83.0,0.007995348309809176,0.06511688644740705,-0.07547095802227721,0.1,para_dirA13_r001_th139_ph83.xyz
157.0,73.0,0.011423872612464768,0.03736580364770964,-0.09205048534524404,0.1,para_dirA14_r001_th157_ph73.xyz
134.0,71.0,0.023419413122383426,0.06801491433880984,-0.06946583704589974,0.1,para_dirA15_r001_th134_ph71.xyz
159.0,40.0,0.02745257763411196,0.023035447767648987,-0.0933580426497202,0.1,para_dirA16_r001_th159_ph40.xyz
146.0,42.0,0.04155613126579656,0.03741730865709514,-0.08290375725550417,0.1,para_dirA17_r001_th146_ph42.xyz
153.0,13.0,0.04423547526431036,0.010212564157850924,-0.08910065241883679,0.1,para_dirA18_r001_th153_ph13.xyz
135.0,21.0,0.06601410503592008,0.025340440728340043,-0.07071067811865477,0.1,para_dirA21_r001_th135_ph21.xyz
116.0,41.0,0.06783284773891711,0.05896619492774805,-0.04383711467890775,0.1,para_dirA22_r001_th116_ph41.xyz
105.0,32.0,0.0819151558012767,0.05118627031709536,-0.025881904510252088,0.1,para_dirA25_r001_th105_ph32.xyz
