ori_index,ori_id,a,b,c,theta_manifest,phi_manifest,representative_frame,dwell_fraction,n_member_frames,feature,unrelaxed_E_meta,unrelaxed_E_ortho,unrelaxed_E_para,unrelaxed_dE_ortho_meta_kcal_mol,unrelaxed_dE_para_meta_kcal_mol,relaxed_E_meta,relaxed_E_ortho,relaxed_E_para,relaxed_dE_ortho_meta_kcal_mol,relaxed_dE_para_meta_kcal_mol,relaxed_electronic_energy_available
0,ori_00_t0101_pp149,-0.8410806985897498,0.5060381316159868,-0.19107241509537576,101.015,148.967,867,0.03225,129,major_hill,-3010.3119268147466,-3010.3179263672164,-3010.303944579901,-3.764776014939701,5.008927989881395,,-3010.328164917532,-3010.320308314046,,,True
1,ori_01_t0130_pp180,-0.7711332790275339,0.0026343576542801283,-0.6366683015008622,129.544,179.804,3958,0.04225,169,,-3010.335510752807,-3010.324547124084,-3010.3255568888862,6.879780893760046,6.246143913711542,-3010.3445579646027,-3010.3339558188345,-3010.338740508493,6.652946914936648,3.650508823673618,True
2,ori_02_t0113_pp144,-0.7447203429514073,0.5376729834743195,-0.3953471558468104,113.288,144.171,2494,0.07525,301,,-3010.3171534991093,-3010.3194868641062,-3010.310121017559,-1.4642086420378868,4.412948798887308,,-3010.3319152984673,-3010.3282413929956,,,True
3,ori_03_t0125_pp151,-0.720849428187524,0.3943499329635426,-0.5699686239200972,124.748,151.319,1061,0.0855,342,,-3010.3280379371467,-3010.32502360726,-3010.319756231476,1.8915205619246507,5.196848769907267,,-3010.33666191202,-3010.3358959691113,,,True
4,ori_04_t0136_pp144,-0.5615926639719971,0.40696780881462924,-0.7204102181128851,136.088,144.07,3858,0.0255,102,,-3010.3348372011287,-3010.329366049455,-3010.326535789038,3.433199509249108,5.209214734910677,,-3010.3416647787085,-3010.34459822802,,,True
5,ori_05_t0144_pp163,-0.5594267412791412,0.17201826167717224,-0.8108337923343875,144.177,162.908,1188,0.07125,285,,-3010.341805652266,-3010.33253649544,-3010.333592225969,5.816483724967969,5.154002815924929,-3010.3529348869756,-3010.3427359773204,-3010.349257606787,6.399912433734894,2.307528157156142,True
6,ori_06_t0125_pp130,-0.5204656426798406,0.6280078858846067,-0.5785513028734851,125.349,129.65,3831,0.00775,31,,-3010.3230443064053,-3010.321550739511,-3010.316057090163,0.9372273762379888,4.384544389260002,,-3010.3366978571757,-3010.338768743558,,,True
7,ori_07_t0154_pp180,-0.43124280746893673,0.0018633119997866368,-0.9022339879846585,154.453,179.752,2754,0.01125,45,,-3010.345586700024,-3010.334935394393,-3010.3384453688177,6.683795194434068,4.481252989303544,-3010.3570378254826,-3010.344384935905,-3010.354845105814,7.939808084197161,1.3759523659660071,True
8,ori_08_t0138_pp125,-0.3875038804922368,0.5448567899928746,-0.7436207507877377,138.041,125.421,3798,0.0385,154,minor_hill,-3010.333886640025,-3010.3287767290535,-3010.3246726205944,3.2065175461984716,5.781884486903733,,-3010.3430353357357,-3010.3468956524,,,True
9,ori_09_t0124_pp111,-0.3022638829129316,0.7699431004842405,-0.5619823547969386,124.193,111.434,3758,0.009,36,,-3010.3194626379254,-3010.3163459294237,-3010.3115431117476,1.955764112705499,4.969577706678766,,-3010.333465563324,-3010.340663218006,,,True
10,ori_10_t0158_pp136,-0.27092405249090545,0.26588473129078205,-0.9251515916044969,157.691,135.538,2786,0.02025,81,basin,-3010.347160850394,-3010.339238687103,-3010.337209483821,4.971232520408728,6.244576804560809,-3010.3607852721893,-3010.350644753158,-3010.355996062097,6.363271764001892,3.0052747062847427,True
11,ori_11_t0149_pp115,-0.22183517284333706,0.46785696456351894,-0.8555109682517091,148.816,115.368,2832,0.026,104,,-3010.341728107543,-3010.3350017133585,-3010.330221360078,4.220876077135097,7.220593049853731,,-3010.3486039920735,-3010.3519203351098,,,True
12,ori_12_t0139_pp097,-0.07747912912024742,0.6502557967852984,-0.7557541817931838,139.091,96.795,1274,0.06425,257,,-3010.333532748693,-3010.3270572142046,-3010.320207461212,4.063459241058928,8.361744139046097,,-3010.3420127220325,-3010.3464831984325,,,True
13,ori_13_t0157_pp073,0.11438835611143117,0.3813203501620331,-0.9173385931805272,156.54,73.302,3647,0.02375,95,,-3010.3460769016237,-3010.339217908698,-3010.3335290378095,4.304083043328359,7.873903422685385,,-3010.351837800945,-3010.354092431353,,,True
14,ori_14_t0134_pp071,0.24148094491673275,0.6836557691022118,-0.6886956821524184,133.527,70.546,1342,0.05275,211,,-3010.3290444960153,-3010.3239573473593,-3010.3186570304088,3.192233977609049,6.51823307960046,,-3010.3396316533726,-3010.3451019533222,,,True
15,ori_15_t0159_pp040,0.27186084462631577,0.23078515137892364,-0.934253656702543,159.108,40.328,3613,0.0045,18,,-3010.347572137988,-3010.3394758988684,-3010.3378892154255,5.080466751969046,6.076125644688927,,-3010.350586262768,-3010.356389045354,,,True
16,ori_16_t0146_pp042,0.41328578432163554,0.3765774952727021,-0.8290863950951002,146.005,42.339,1447,0.04225,169,,-3010.3411482692763,-3010.3340405401473,-3010.331959943287,4.460167367568747,5.765761609047825,,-3010.346427559105,-3010.3509643289963,,,True
17,ori_17_t0153_pp013,0.4461170676779093,0.10467858685564807,-0.8888317925121536,152.727,13.205,3579,0.0345,138,basin,-3010.3457044764964,-3010.335842829199,-3010.3378410490263,6.188277108977526,4.934375236068296,,-3010.345729840648,-3010.354255394715,,,True
18,ori_18_t0130_pp039,0.6013076757677607,0.48128636506134925,-0.6378028801038822,129.628,38.674,3482,0.02925,117,,-3010.3296250329636,-3010.3261726872697,-3010.3217919194826,2.1663796306372562,4.915352920711244,,-3010.3392788098427,,,,True
19,ori_19_t0139_pp001,0.6591796893605925,0.014536175790869845,-0.7518449552453284,138.75,1.263,1490,0.037,148,,-3010.3397709660844,-3010.328420243507,-3010.3313915287076,7.1226859547742265,5.25817634125336,,-3010.33785257864,,,,True
20,ori_20_t0135_pp021,0.6592976151304367,0.2583098282385738,-0.7061180406409943,134.92,21.395,3051,0.04325,173,,-3010.3363726496514,-3010.329101813461,-3010.327799167464,4.562518593837226,5.379941298260948,,-3010.339694583332,-3010.3430065538378,,,True
21,ori_21_t0116_pp041,0.6824269943756721,0.5866984855259945,-0.4359796835047372,115.848,40.686,3437,0.051,204,,-3010.3177355400894,-3010.3193039308835,-3010.3112625916765,-0.9841800823255148,4.0618364542291525,,-3010.3328740004986,-3010.3312276449337,,,True
22,ori_22_t0119_pp026,0.7870370088169171,0.37774370594352746,-0.4877319339274085,119.192,25.639,1787,0.09325,373,,-3010.3246177018837,-3010.3231497176,-3010.3158689760417,0.9211740458998859,5.489908351833745,,-3010.3342227258927,,,,True
23,ori_23_t0124_pp009,0.8158317498951552,0.13309515251672854,-0.5627648143226065,124.247,9.266,1553,0.03225,129,,-3010.331630850234,-3010.3241644841373,-3010.3211240891974,4.68521546247187,6.593092092180387,,-3010.3336942734086,,,,True
24,ori_24_t0105_pp032,0.8216683291362122,0.5117802666724057,-0.25088267285571253,104.53,31.917,21,0.04725,189,major_hill,-3010.3135820713737,-3010.318356300442,-3010.3058789753977,-2.995873971556153,4.833765704565038,,-3010.329300564113,-3010.322413931199,,,True
